dataset,dimension,sample_size,pearson_correlation,spearman_correlation,metric_best_stress,metric_best_iteration,metric_total_iterations
BindingDB_IC50,128,10000,0.9999858670231638,0.9998751897556214,0.029871413484215736,15,17
BindingDB_IC50,16,10000,0.9998874144128052,0.9997515212476119,0.17489168047904968,57,300
BindingDB_IC50,2,10000,0.9994694996696118,0.9993008613891349,0.9442585706710815,49,67
BindingDB_IC50,32,10000,0.9999515356505961,0.9998330882163313,0.09536690264940262,18,140
BindingDB_IC50,4,10000,0.9997439714612526,0.999587109517024,0.45434775948524475,49,151
BindingDB_IC50,64,10000,0.9999746393164971,0.9998583442819056,0.05155334994196892,23,300
BindingDB_IC50,8,10000,0.9998347111926287,0.999686547482845,0.3102545738220215,107,300
BindingDB_Kd,128,10000,0.9345366049750988,0.8879227510639685,112.82088470458984,247,300
BindingDB_Kd,16,10000,0.9216307842039958,0.86582491712416,130.86813354492188,228,300
BindingDB_Kd,2,10000,0.22059526146390218,0.48103759458991036,1309.763671875,2,12
BindingDB_Kd,32,10000,0.9259175614360191,0.8737539598805636,126.10165405273438,235,300
BindingDB_Kd,4,10000,0.8966060281913587,0.8283295328646765,169.07022094726562,262,300
BindingDB_Kd,64,10000,0.9331278126261745,0.8842735694357702,114.36383819580078,284,300
BindingDB_Kd,8,10000,0.9105222266412079,0.848412921795451,148.8369140625,265,300
BindingDB_Ki,128,10000,0.9995751782526471,0.9996553553264457,0.5814963579177856,80,82
BindingDB_Ki,16,10000,0.9995486267818643,0.9996044613646093,0.6212686896324158,251,274
BindingDB_Ki,2,10000,0.9740126276855128,0.9751661192474873,84.33143615722656,1,9
BindingDB_Ki,32,10000,0.9995627692547837,0.9996252259924978,0.6035677194595337,178,300
BindingDB_Ki,4,10000,0.9991328115978437,0.9991812462183961,1.6293467283248901,132,189
BindingDB_Ki,64,10000,0.9996213780491385,0.9996981873218329,0.63699871301651,189,265
BindingDB_Ki,8,10000,0.9995057220690338,0.9995606236061636,0.8003206849098206,265,300
DAVIS,128,10000,0.9241272302707826,0.7612137748815381,123.23603820800781,299,300
DAVIS,16,10000,0.8725990156872554,0.7118761118582944,170.34835815429688,299,300
DAVIS,2,10000,0.5757745539125348,0.5088050757629827,446.1312255859375,296,300
DAVIS,32,10000,0.9096672903919762,0.7472797103499714,133.59913635253906,298,300
DAVIS,4,10000,0.6765117311715139,0.5920507023261806,356.3042297363281,299,300
DAVIS,64,10000,0.9208646605059194,0.7582304761384259,125.13050842285156,299,300
DAVIS,8,10000,0.811657422176994,0.6798514440894221,229.56979370117188,298,300
KIBA,128,10000,0.9753936309375413,0.9501061008548884,2.8600311279296875,217,219
KIBA,16,10000,0.8771148022576218,0.818607792203922,16.929807662963867,295,300
KIBA,2,10000,0.6952219742833566,0.6599713017695,39.09303283691406,226,300
KIBA,32,10000,0.9377552034695129,0.8886455523472654,8.435778617858887,297,300
KIBA,4,10000,0.7711721448391917,0.7426358481464317,30.175024032592773,298,300
KIBA,64,10000,0.9616572123559421,0.9254782131994561,4.883835792541504,186,188
KIBA,8,10000,0.8091292831509374,0.7663558377955736,25.94856834411621,267,300
